A1,A2,A3,A4,Activity
0.254,0.441,0.020,0.285,107.9
0.000,0.377,0.065,0.558,130.5
0.065,0.436,0.207,0.292,75.5
0.170,0.327,0.392,0.112,81.6
0.413,0.000,0.000,0.587,101.6
0.357,0.491,0.098,0.053,94.4
0.112,0.250,0.387,0.252,66.2
0.135,0.514,0.282,0.068,84.5
0.242,0.463,0.077,0.218,103.4
0.242,0.058,0.145,0.554,184.9
0.018,0.192,0.158,0.632,78.9
0.445,0.070,0.082,0.403,105.9
0.266,0.233,0.433,0.068,94.2
0.097,0.225,0.000,0.678,109.7
0.409,0.000,0.591,0.000,104.4
0.132,0.362,0.225,0.282,99
0.275,0.225,0.352,0.148,110.1
0.232,0.093,0.302,0.372,171.7
0.148,0.282,0.337,0.233,97.6
0.223,0.015,0.366,0.396,116.7
0.212,0.322,0.090,0.377,95.6
0.400,0.130,0.203,0.267,106.2
0.326,0.250,0.265,0.160,94
0.220,0.000,0.000,0.780,146.8
0.062,0.420,0.208,0.310,85.5
0.383,0.617,0.000,0.000,116.7
0.249,0.569,0.110,0.072,103
0.178,0.363,0.330,0.128,93.6
0.251,0.484,0.186,0.078,90.4
0.248,0.620,0.087,0.045,84.1
0.119,0.169,0.571,0.142,65.2
0.545,0.308,0.090,0.057,98.6
0.293,0.443,0.223,0.040,104.3
0.313,0.367,0.070,0.250,141.1
0.320,0.260,0.367,0.053,105.8
0.323,0.392,0.117,0.168,98.9
0.202,0.402,0.165,0.232,92.5
0.285,0.308,0.015,0.392,98
0.162,0.368,0.030,0.440,92.9
0.272,0.532,0.127,0.070,99.4
0.215,0.256,0.338,0.191,126.4
0.635,0.048,0.215,0.102,124.5
0.280,0.068,0.208,0.443,134
0.413,0.093,0.270,0.223,114.6
0.326,0.007,0.558,0.110,128.4
0.281,0.371,0.304,0.043,96.4
0.406,0.010,0.258,0.326,129.6
0.418,0.115,0.372,0.095,132.8
0.376,0.165,0.431,0.028,169.3
0.473,0.020,0.183,0.323,125.5
0.602,0.000,0.256,0.141,96
0.528,0.000,0.472,0.000,93.7
0.603,0.140,0.040,0.217,86.8
0.510,0.065,0.235,0.190,98.8
0.588,0.093,0.167,0.152,103
0.678,0.000,0.322,0.000,89.1
0.607,0.170,0.110,0.113,139.1
0.652,0.000,0.273,0.075,112.1
0.601,0.000,0.175,0.224,108
0.747,0.000,0.253,0.000,89.2
0.667,0.065,0.267,0.002,96.9
0.708,0.087,0.065,0.140,85.2
0.665,0.060,0.105,0.170,97.6
0.762,0.238,0.000,0.000,85
0.520,0.000,0.002,0.478,154.1
0.666,0.193,0.080,0.062,121.5
0.656,0.127,0.130,0.087,117.5
0.627,0.128,0.243,0.002,124.8
0.762,0.033,0.178,0.027,95.7
0.658,0.125,0.178,0.038,106.1
0.797,0.047,0.135,0.022,95.5
0.565,0.115,0.178,0.142,125.3
0.254,0.396,0.115,0.235,129.5
0.295,0.267,0.293,0.145,133
0.083,0.407,0.295,0.214,90.9
0.410,0.097,0.353,0.140,144.3
0.549,0.240,0.187,0.023,105
0.007,0.055,0.710,0.228,80.1
0.271,0.015,0.542,0.171,170.2
0.275,0.242,0.440,0.043,158.4
0.405,0.253,0.332,0.010,130.4
0.243,0.255,0.295,0.207,129.3
0.346,0.113,0.438,0.103,134.2
0.248,0.223,0.265,0.263,123.1
0.114,0.489,0.326,0.072,55.9
0.218,0.193,0.275,0.313,115.3
0.438,0.447,0.100,0.015,122.6
0.418,0.245,0.320,0.017,160.5
0.397,0.205,0.173,0.225,122.4
0.185,0.277,0.207,0.332,121.2
0.206,0.348,0.160,0.286,94.7
0.342,0.112,0.337,0.210,130.8
0.337,0.220,0.390,0.053,109.7
0.171,0.461,0.231,0.136,93.4
0.334,0.181,0.304,0.180,142.7
0.255,0.348,0.168,0.228,121
0.290,0.270,0.173,0.267,116.3
0.387,0.067,0.449,0.097,136.6
0.313,0.285,0.108,0.295,111.1
0.173,0.227,0.432,0.168,105
0.330,0.253,0.233,0.183,104.5
0.127,0.375,0.352,0.147,76.5
0.125,0.264,0.302,0.309,110.5
0.210,0.343,0.226,0.221,141.6
0.147,0.232,0.292,0.330,118.2
0.205,0.258,0.306,0.231,127.7
0.484,0.429,0.065,0.022,108.8
0.384,0.431,0.184,0.002,106.2
0.152,0.331,0.200,0.317,88.3
0.110,0.413,0.350,0.127,85.3
0.165,0.300,0.250,0.285,116.7
0.283,0.113,0.532,0.072,154
0.487,0.030,0.160,0.322,120.3
0.275,0.015,0.493,0.218,174.1
0.147,0.150,0.683,0.020,94.8
0.194,0.302,0.377,0.127,101.1
0.403,0.323,0.005,0.270,97.1
0.295,0.288,0.103,0.313,124.6
0.387,0.258,0.102,0.253,118.8
0.434,0.404,0.115,0.047,127.8
0.202,0.292,0.183,0.323,110
0.295,0.309,0.183,0.213,127.2
0.270,0.005,0.403,0.323,160.5
0.292,0.274,0.229,0.205,91.8
0.190,0.188,0.507,0.115,102
0.153,0.322,0.375,0.150,93.8
0.416,0.194,0.098,0.292,122
0.277,0.333,0.368,0.022,139.5
0.077,0.448,0.353,0.122,84.5
0.220,0.192,0.299,0.289,140.5
0.270,0.037,0.380,0.313,150
0.286,0.053,0.577,0.083,148.4
0.435,0.112,0.143,0.310,112.5
0.115,0.250,0.372,0.263,102.7
0.307,0.315,0.253,0.125,131.6
0.223,0.382,0.280,0.115,139.6
0.218,0.310,0.245,0.227,122.9
